Si;Fe;CaO;SiO2;MgO;Al2O3;MnO;P2O5;S;basicity;FeOn;FeOn_t;CaO_t;SiO2_t
6550;28,07412;43,5146;11,40858;5,48317;0,28061;2,05419;1,31048;0,04967;3,8142;40,707474;42,56739058;45,50277362;11,9298358
7030;29,29407;41,01942;10,80763;4,87581;0,3052;2,18472;1,24176;0,04405;3,79541;42,4764015;45,04225543;43,49726266;11,46048191
6560;26,98844;43,54323;11,25736;5,40135;0,42931;2,11934;1,32697;0,04922;3,86798;39,133238;41,66043143;46,35521721;11,98435137
7800;28,33146;42,161;10,77493;5,96455;0,34996;1,98354;1,33224;0,05595;3,91288;41,080617;43,69509231;44,84423364;11,46067404
4340;29,6323;43,3452;10,78635;6,72257;0,331;1,93477;1,3215;0,05195;4,01852;42,966835;44,25082353;44,64049531;11,10868116
5240;33,20934;37,58594;10,86749;5,85567;0,8602;2,05514;1,23392;0,065;3,45857;48,153543;49,84479019;38,90603218;11,24917763
4090;33,48482;37,90493;10,60171;5,49741;0,77163;2,06367;1,28612;0,05982;3,57536;48,552989;50,02387656;39,05324015;10,92288329
5400;29,10531;43,27959;11,49904;6,73077;0,45629;1,94327;1,39752;0,05343;3,76376;42,2026995;43,51631362;44,62672374;11,85696263
8110;29,4944;43,13438;10,60079;6,57131;0,30588;1,93728;1,34613;0,05699;4,06898;42,76688;44,31706891;44,69788984;10,98504125
5350;33,88604;37,71191;10,49355;4,99852;0,80702;2,08363;1,29319;0,0646;3,59382;49,134758;50,47734535;38,74237265;10,780282
8200;33,89903;37,79816;10,14126;5,17051;0,70913;2,18529;1,29987;0,06514;3,72717;49,1535935;50,62526306;38,92984535;10,44489159
6810;33,58678;38,10367;10,36101;5,59244;0,71633;2,16616;1,30076;0,06267;3,6776;48,700831;50,12151997;39,21522113;10,6632589
5430;29,38235;40,66941;10,54446;4,67248;0,80153;2,58403;1,38902;0,06261;3,85695;42,6044075;45,41162835;43,34913312;11,23923854
1950;31,9277;38,81363;10,68854;4,88112;0,71784;2,34053;1,30344;0,06633;3,63133;46,295165;48,32615124;40,5163985;11,15745026
5690;23,63927;42,10838;10,13645;4,85045;0,61548;3,61113;1,29886;0,05905;4,15415;34,2769415;39,61655073;48,66795868;11,71549059
2330;35,12053;37,43874;10,73544;5,34261;0,8968;2,27908;1,41122;0,06624;3,4874;50,9247685;51,38779903;37,77914959;10,83305137
5640;36,06452;37,67331;6,54839;5,03396;0,4833;2,19092;1,54483;0,07228;5,75307;52,293554;54,18164677;39,03352935;6,784823879
5690;34,79432;38,79688;7,44756;5,95859;0,50159;2,24926;1,49541;0,06527;5,20934;50,451764;52,17553731;40,12244369;7,702018995
6110;32,49174;37,91562;9,68449;4,86602;0,72909;2,28739;1,34053;0,06597;3,91509;47,113023;49,74286195;40,03206187;10,22507618
5560;34,38557;38,35238;7,74381;5,53359;0,59423;2,2603;1,45625;0,06902;4,95265;49,8590765;51,96075038;39,96902036;8,070229267
3980;35,47084;37,87857;6,77257;5,05755;0,6046;2,26042;1,54554;0,0718;5,59294;51,432718;53,52898923;39,42240746;7,048603315
1880;29,26939;40,68618;10,75502;4,87601;0,85262;2,60484;1,33532;0,06102;3,783;42,4406155;45,20642818;43,33765787;11,45591395
2050;31,76937;38,98423;10,82578;5,02846;0,78944;2,34302;1,34231;0,06352;3,60105;46,0655865;48,04724892;40,66126462;11,29148646
2010;35,71657;37,62227;6,9613;4,96096;0,52317;2,16022;1,50908;0,07601;5,40449;51,7890265;53,73833266;39,03834842;7,223318923
5920;35,29183;38,27675;6,75392;5,09657;0,6345;2,25466;1,50825;0,06629;5,66733;51,1731535;53,19243211;39,78714006;7,020427832
4230;35,32578;37,75044;6,58742;4,69066;0,51762;2,26504;1,50186;0,06921;5,73069;51,222381;53,60218901;39,50433737;6,893473615
2960;26,82126;44,3912;9,74027;4,7582;0,64627;2,28205;1,6211;0,07131;4,55749;38,890827;41,80806995;47,72103187;10,47089818
3570;35,17894;37,64415;6,57367;4,80065;0,53204;2,26889;1,46266;0,06349;5,7265;51,009463;53,56601742;39,53084538;6,903137203
5320;31,42903;39,88687;9,75142;4,05424;1,04481;2,37986;1,47481;0,05449;4,09036;45,5720935;47,8646255;41,89340336;10,24197114
4390;35,06971;37,16436;6,33263;4,632;0,44959;2,25232;1,44461;0,06694;5,86871;50,8510795;53,89731848;39,39069469;6,711986831
4050;26,73954;43,94496;9,65871;5,24444;0,68928;2,26484;1,60156;0,06528;4,54977;38,772333;41,97229988;47,5718353;10,45586482
4030;26,93813;44,9815;10,1163;5,0079;0,69706;2,27851;1,66372;0,06171;4,44644;39,0602885;41,48373137;47,77231645;10,74395218
5770;30,30459;40,8636;9,97202;5,37755;0,88043;2,21503;1,54494;0,06458;4,09782;43,9416555;46,36307097;43,11539848;10,52153055
4340;30,39142;41,10253;9,97498;5,38587;0,86898;2,21782;1,55895;0,06398;4,12056;44,067559;46,31617746;43,19985306;10,48396948
4930;30,83064;40,67468;9,31774;5,171;0,86783;2,2315;1,51857;0,06503;4,3653;44,704428;47,20793664;42,95251728;9,839546085
5190;33,03226;39,13087;10,69578;4,63741;0,63449;2,20426;1,41843;0,05995;3,65854;47,896777;49,01258426;40,04246597;10,94494977
7700;20,66925;43,63189;15,4259;5,98522;0,77162;2,23897;1,29909;0,05554;2,82848;29,9704125;33,66395328;49,00906541;17,3269813
3440;25,61614;42,92534;11,93077;4,33222;1,25594;2,47888;1,63036;0,06001;3,59787;37,143403;40,37347785;46,65822525;12,96829691
5620;23,52042;43,45326;13,21024;5,11583;0,91485;2,28072;1,32602;0,05616;3,28936;34,104609;37,57333867;47,87282723;14,5538341
3520;23,9293;44,75682;10,87465;4,43952;0,93228;2,60791;1,70729;0,05949;4,1157;34,697485;38,41236179;49,54869676;12,03894144
5290;25,12864;43,49374;11,3481;4,49248;1,17373;2,54521;1,58082;0,05852;3,83269;36,436528;39,91803184;47,6495592;12,43240896
5220;19,02145;46,74491;15,478;4,24798;1,06678;2,42503;1,55982;0,05269;3,02009;27,5811025;30,71255029;52,05213965;17,23531006
5760;25,99741;47,28828;11,16986;5,0749;0,90643;2,20723;1,41793;0,0646;4,23356;37,6962445;39,20387479;49,17953585;11,61658936
7660;20,97675;46,29486;14,08451;5,33733;0,8968;2,21123;1,36751;0,0591;3,28693;30,4162875;33,49971611;50,98796713;15,51231676
4540;21,4139;46,48329;13,46276;4,49886;1,1035;2,27855;1,36855;0,0594;3,45273;31,050155;34,12247247;51,08266878;14,79485875
4700;23,69016;45,58359;11,58862;4,76977;0,97137;2,58103;1,6761;0,05525;3,93348;34,350732;37,53237303;49,80564327;12,6619837
5240;24,74169;44,60617;11,16353;4,50041;1,0791;2,58035;1,69734;0,05641;3,9957;35,8754505;39,14604352;48,67270091;12,18125557
6160;25,66579;43,56604;11,19861;4,49872;1,19326;2,5649;1,56269;0,05283;3,89031;37,2153955;40,46029255;47,36466455;12,1750429
5840;30,79324;40,34901;10,42688;4,25907;1,0758;2,36825;1,53208;0,05604;3,86971;44,650198;46,79034731;42,28299708;10,92665561
5020;26,27668;47,51675;10,80204;5,27681;0,91865;2,21846;1,46854;0,06085;4,39887;38,101186;39,51586339;49,28102243;11,20311418
5000;30,77963;40,82719;10,89373;4,66469;1,17309;2,37408;1,57004;0,05545;3,74777;44,6304635;46,3205217;42,37322653;11,30625177
4330;23,1437;47,20192;11,56292;4,90919;1,04911;2,33953;1,52774;0,05452;4,08218;33,558365;36,34878685;51,12682126;12,52439189
4800;22,82452;47,82433;11,52388;4,8891;1,00158;2,34733;1,52044;0,05394;4,15002;33,095554;35,8007426;51,73343007;12,46582733
4890;30,65302;39,68485;10,92823;5,01457;1,28935;2,35422;1,42511;0,04123;3,63141;44,446879;46,75667807;41,74717769;11,49614424
4860;30,85789;40,1274;10,24425;4,79252;1,1515;2,37026;1,49387;0,05524;3,91707;44,7439405;47,04164718;42,18803646;10,77031636
4410;22,78614;47,87569;11,68672;4,92016;1,03315;2,32682;1,54874;0,05737;4,09659;33,039903;35,67934961;51,70031768;12,62033271
4850;30,91686;39,99777;10,0656;4,70203;1,08005;2,36395;1,48302;0,0589;3,97371;44,829447;47,24219221;42,15047173;10,60733606
7340;30,03147;40,26918;11,46994;5,25257;1,28028;2,35515;1,56465;0,042;3,51084;43,5456315;45,70052481;42,26193527;12,03753992
5710;23,06174;45,95545;12,25633;4,3581;1,12017;2,39402;1,71077;0,05634;3,74953;33,439523;36,48559475;50,1416221;13,37278315
5410;22,97142;45,39736;12,56004;4,58472;1,06422;2,38173;1,67695;0,05616;3,61443;33,308559;36,49614748;49,741832;13,76202051
7350;22,81334;44,86183;11,7377;4,34863;1,06077;2,37984;1,62107;0,06655;3,82203;33,079343;36,88643924;50,02497076;13,08859
8180;20,17595;47,84995;13,52716;4,86689;1,1181;2,48803;1,76533;0,05521;3,53732;29,2551275;32,27894214;52,79572845;14,92532941
1920;24,71006;43,8673;11,90149;4,6955;1,2003;2,59743;1,95035;0,06655;3,68587;35,829587;39,11596272;47,89091405;12,99312323
5730;28,22694;42,59954;10,82667;5,51037;0,69379;2,1958;1,30899;0,04302;3,93469;40,929063;43,3776107;45,14802262;11,47436667
3140;28,23682;42,2675;10,36124;5,15577;0,654;2,20003;1,33888;0,05914;4,07939;40,943389;43,75596605;45,17103592;11,07299803
2650;27,7605;42,30108;10,19799;4,89912;0,65186;2,24123;1,38762;0,0572;4,14798;40,252725;43,39832453;45,60675079;10,99492468
7050;23,00883;42,337;13,86569;4,54078;1,05515;2,67199;1,82117;0,04998;3,05336;33,3628035;37,24961723;47,2693203;15,48106247
3150;19,76693;46,55565;12,86542;4,66741;1,00797;2,4733;1,71184;0,0606;3,61866;28,6620485;32,53977492;52,85422541;14,60599967
3420;20,4872;46,6928;13,58288;5,4764;1,13186;2,46055;1,6615;0,04134;3,43762;29,70644;33,01371428;51,89119794;15,09508778
2560;26,77713;39,9703;9,45939;4,95173;0,60671;2,20278;1,28315;0,05562;4,22546;38,8268385;43,99316307;45,2887743;10,71806263
3270;27,32372;41,67299;9,97257;4,75551;0,61957;2,2263;1,34467;0,05144;4,17876;39,619394;43,41139974;45,66154715;10,92705312
6780;33,71725;36,5404;10,91317;4,7706;1,18726;2,41045;1,77331;0,05642;3,34828;48,8900125;50,74547908;37,9271759;11,32734503
3260;20,50539;47,12233;13,60225;5,31152;1,0733;2,47291;1,68381;0,04306;3,4643;29,7328155;32,86941365;52,09339683;15,03718952
4650;24,18246;44,83542;11,66815;5,15341;0,98086;2,5925;1,90987;0,05993;3,84255;35,064567;38,29341532;48,96399716;12,74258752
6730;24,17699;43,65408;12,56378;5,13243;1,17797;2,48854;1,7909;0,05613;3,4746;35,0566355;38,40792032;47,82724874;13,76483094
6060;25,01621;42,55782;13,62057;4,60815;1,15255;2,58939;1,81724;0,0521;3,12452;36,2735045;39,23500399;46,03239364;14,73260237
2620;19,87945;44,0731;12,19946;4,73648;0,78975;2,57904;1,80188;0,05474;3,61271;28,8252025;33,87304396;51,79113846;14,33581758
1850;27,67707;41,71924;9,70148;5,06309;0,4392;3,07139;2,02986;0,05024;4,3003;40,1317515;43,8347003;45,56866605;10,59663365
2640;19,20709;45,44302;12,89885;4,74122;0,85908;2,554;1,79802;0,04591;3,52303;27,8502805;32,31185246;52,72292168;14,96522586
1840;23,73008;46,50241;10,50304;5,65045;0,98137;2,75888;1,96534;0,05426;4,42752;34,408616;37,64039552;50,87008163;11,48952285
3620;19,49352;44,90588;12,47799;4,72102;0,81236;2,56443;1,80081;0,05633;3,59881;28,265604;33,00149164;52,42983746;14,56867091
8310;18,79494;47,56424;14,00693;5,02137;0,95593;2,5223;1,88909;0,04265;3,39576;27,252663;30,68170116;53,54896135;15,76933749
8120;18,95335;47,0353;13,80486;4,96793;1,01958;2,54407;1,86643;0,04668;3,40715;27,4823575;31,11591277;53,25403004;15,63005719
7190;23,20933;46,61533;11,46777;5,76322;1,04597;2,69228;1,90644;0,04852;4,0649;33,6535285;36,6849415;50,81430478;12,50075372
4430;21,74571;45,17744;13,49882;5,37164;0,74243;2,59643;1,83818;0,04238;3,34677;31,5312795;34,95415092;50,08166751;14,96418157
